# lon lat uLOS sigLOS losE losN losU
85.64292000 27.80875000 0.60056103 0.08492128 0.64763000 -0.11564000 0.75313000
85.64292000 27.78375000 0.81534253 0.06651404 0.64695000 -0.11556000 0.75372000
85.62708000 27.74541700 1.07587207 0.06731181 0.64748000 -0.11561000 0.75327000
85.54792000 27.83458300 0.59651111 0.10008376 0.65533000 -0.11645000 0.74631000
85.54792000 27.85958300 0.30317047 0.10208057 0.65555000 -0.11645000 0.74612000
85.57958000 27.85958300 0.24422981 0.09787910 0.65320000 -0.11621000 0.74821000
85.57958000 27.83541700 0.48150018 0.09651194 0.65264000 -0.11615000 0.74871000
85.54792000 27.88541700 0.03626354 0.10694679 0.65607000 -0.11650000 0.74566000
85.54792000 27.91041700 -0.12039236 0.05829861 0.65634000 -0.11651000 0.74542000
85.57958000 27.91041700 -0.22647821 0.05809706 0.65461000 -0.11637000 0.74696000
85.57958000 27.88541700 -0.00810483 0.08262299 0.65392000 -0.11630000 0.74757000
85.61125000 27.88541700 -0.04292304 0.06518129 0.65105000 -0.11595000 0.75013000
85.61125000 27.91041700 -0.21342818 0.04475208 0.65177000 -0.11605000 0.74948000
85.64292000 27.90958300 -0.20299866 0.04248830 0.64914000 -0.11574000 0.75181000
85.64292000 27.88541700 -0.06872585 0.07752058 0.64886000 -0.11573000 0.75206000
85.61125000 27.83458300 0.41882227 0.09401192 0.65067000 -0.11597000 0.75045000
85.61125000 27.85958300 0.18626738 0.09259341 0.65075000 -0.11593000 0.75039000
85.64292000 27.85958300 0.10484825 0.05866885 0.64881000 -0.11575000 0.75210000
85.64292000 27.83458300 0.36122852 0.11105296 0.64824000 -0.11571000 0.75259000
85.67542000 27.83458300 0.32300299 0.08759451 0.64536000 -0.11537000 0.75511000
85.67542000 27.85958300 0.10748843 0.08721480 0.64628000 -0.11549000 0.75431000
